timestamp,event_type,status_code,response_ms,cpu_percent,memory_percent,requests_per_minute,error_flag,server_node,region,user_type
2026-05-20 00:02:40,query,200,129,12.8,28.4,55,0,srv-a,Sur,cliente
2026-05-20 00:03:36,error,500,1730,47.6,35.0,43,1,srv-a,Centro,cliente
2026-05-20 00:16:24,report,200,175,21.3,51.2,36,0,srv-a,Sur,cliente
2026-05-20 00:17:12,login,200,41,10.1,53.1,30,0,srv-b,Norte,admin
2026-05-20 00:23:34,report,200,183,33.4,54.1,59,0,srv-a,Norte,cliente
2026-05-20 00:25:00,login,200,104,16.1,39.1,22,0,srv-b,Norte,cliente
2026-05-20 00:27:22,report,200,45,15.0,41.0,18,0,srv-c,Centro,admin
2026-05-20 00:28:24,login,401,117,17.4,38.3,34,0,srv-a,Norte,cliente
2026-05-20 00:29:50,query,200,58,12.7,44.6,32,0,srv-b,Sur,cliente
2026-05-20 00:32:43,transfer,500,441,23.4,34.1,20,1,srv-b,Norte,cliente
2026-05-20 00:34:36,report,200,212,23.3,31.8,42,0,srv-b,Norte,cliente
2026-05-20 00:44:06,transfer,200,84,11.2,47.3,57,0,srv-b,Sur,cliente
2026-05-20 00:52:26,transfer,200,102,24.4,52.0,16,0,srv-b,Centro,cliente
2026-05-20 00:55:38,error,503,1306,23.0,55.6,21,1,srv-b,Sur,interno
2026-05-20 01:01:30,query,200,74,23.5,46.9,14,0,srv-a,Sur,cliente
2026-05-20 01:05:10,report,200,141,28.6,55.0,39,0,srv-b,Centro,cliente
2026-05-20 01:05:24,error,503,1535,27.1,54.1,16,1,srv-c,Norte,cliente
2026-05-20 01:09:23,report,200,114,18.8,41.5,26,0,srv-b,Centro,cliente
2026-05-20 01:12:34,timeout,408,650,26.0,32.8,19,1,srv-a,Norte,cliente
2026-05-20 01:15:12,login,200,56,32.9,48.3,50,0,srv-a,Sur,interno
2026-05-20 01:17:32,login,500,736,21.8,54.0,25,1,srv-a,Sur,cliente
2026-05-20 01:29:27,query,200,115,17.4,55.0,56,0,srv-c,Norte,cliente
2026-05-20 01:29:37,query,200,155,22.6,45.8,30,0,srv-b,Centro,cliente
2026-05-20 01:32:29,timeout,408,721,28.8,31.7,26,1,srv-a,Centro,cliente
2026-05-20 01:34:15,login,200,197,34.2,39.5,46,0,srv-b,Norte,cliente
2026-05-20 01:34:16,query,200,59,23.4,42.6,17,0,srv-b,Norte,interno
2026-05-20 01:38:14,error,503,1389,49.4,55.0,45,1,srv-b,Norte,cliente
2026-05-20 01:40:32,timeout,408,618,27.1,42.1,37,1,srv-b,Centro,cliente
2026-05-20 01:53:14,query,200,118,26.5,40.6,17,0,srv-a,Centro,cliente
2026-05-20 01:53:31,query,200,62,14.7,41.5,42,0,srv-b,Sur,interno
2026-05-20 02:00:48,timeout,503,1391,41.4,48.8,22,1,srv-c,Centro,cliente
2026-05-20 02:10:38,query,200,188,19.6,38.6,54,0,srv-c,Norte,cliente
2026-05-20 02:21:15,query,200,183,13.7,39.8,53,0,srv-b,Sur,cliente
2026-05-20 02:22:32,timeout,503,2171,34.4,44.1,52,1,srv-b,Sur,cliente
2026-05-20 02:25:14,query,503,582,11.5,41.8,50,1,srv-b,Norte,cliente
2026-05-20 02:27:05,login,401,69,8.2,32.5,47,0,srv-a,Norte,cliente
2026-05-20 02:28:19,login,200,58,32.0,50.0,40,0,srv-c,Sur,cliente
2026-05-20 02:34:11,timeout,408,432,24.7,34.0,23,1,srv-b,Sur,cliente
2026-05-20 02:39:27,error,503,1804,29.4,39.8,47,1,srv-a,Norte,cliente
2026-05-20 02:42:19,query,200,119,13.3,37.9,14,0,srv-a,Centro,interno
2026-05-20 02:46:59,login,200,111,18.1,48.7,46,0,srv-b,Norte,cliente
2026-05-20 02:47:38,login,200,40,17.6,30.2,19,0,srv-a,Centro,cliente
2026-05-20 02:50:18,query,200,46,32.7,32.5,44,0,srv-b,Sur,interno
2026-05-20 02:52:56,login,200,100,22.3,49.0,23,0,srv-c,Norte,cliente
2026-05-20 02:53:37,login,200,192,14.2,57.3,24,0,srv-b,Centro,cliente
